animal_id,has_name,is_adopted,sex_male,spay_neuter,cfa_approved,is_kitten,season_Fall,season_Spring,season_Summer,season_Winter,is_weekend,time_of_day_Afternoon,time_of_day_Closed,time_of_day_Morning,is_shorthair,is_solid_pattern,color_black,color_other,color_white
A684346,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A685067,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A678580,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
A675405,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
A670420,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0
A684460,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A673952,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A686497,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
A687965,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A668547,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
A682393,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
A681039,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
A682532,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A683779,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0
A686829,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
A617061,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
A682085,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0
A692877,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A683856,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
A683517,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
A688811,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
A680225,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A662912,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0
A677218,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
A691708,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
A670066,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
A667511,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
A670656,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A688674,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
A677633,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
A688532,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A687769,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A678060,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A688036,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
A663623,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
A691706,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
A667028,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A672190,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
A687138,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1
A662261,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
A665799,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
A673438,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A669140,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
A669576,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A685582,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0
A684998,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0
A664486,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A689192,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A665019,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A684110,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
A677014,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
A677959,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
A680473,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
A690900,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
A664437,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A683956,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A690029,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A678260,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A672918,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A681990,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
A683735,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
A685607,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
A679736,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A671106,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
A678573,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A626164,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
A669753,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A687770,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
A688206,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
A667359,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
A686388,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
A684824,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0
A686978,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0
A680663,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A681042,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
A680414,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
A683224,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
A677631,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0
A677077,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
A682239,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
A693905,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
A680819,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
A692219,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A688479,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
A688741,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
A664514,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
A671065,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A678248,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
A670616,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
A683161,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
A575091,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
A688074,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
A664952,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0
A688011,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A644391,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A688552,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
A691086,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
A678917,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
A679999,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
A677713,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
A664638,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
A688558,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A689477,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A667144,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A689130,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
A687156,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
A691709,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A665661,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1
A679781,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
A667187,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
A681701,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
