animal_id,outcome_age_(years),has_name,is_adopted,sex_male,spay_neuter,cfa_approved,season_Fall,season_Spring,season_Summer,season_Winter,is_weekend,time_of_day_Afternoon,time_of_day_Closed,time_of_day_Morning,is_shorthair,is_solid_pattern,color_black,color_other,color_white
A684346,0.0383561643835616,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A685067,0.0821917808219178,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A678580,0.2465753424657534,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
A675405,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
A670420,0.0575342465753424,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
A684460,0.1643835616438356,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A673952,0.6575342465753424,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A686497,0.410958904109589,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
A687965,0.1643835616438356,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A668547,1.0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
A682393,0.1643835616438356,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
A681039,0.0383561643835616,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0
A682532,0.1643835616438356,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A683779,0.2465753424657534,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0
A686829,0.0575342465753424,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
A617061,3.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
A682085,4.0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0
A692877,2.0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A683856,7.0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
A683517,0.0821917808219178,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
A688811,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
A680225,2.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A662912,0.1643835616438356,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0
A677218,0.0767123287671232,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A691708,0.2465753424657534,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
A670066,1.0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
A667511,0.1643835616438356,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
A670656,6.0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A688674,2.0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
A677633,0.0383561643835616,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0
A688532,0.0575342465753424,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A687769,0.1643835616438356,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A678060,0.2465753424657534,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A688036,2.0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
A663623,0.3287671232876712,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0
A691706,0.1643835616438356,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
A667028,1.0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A672190,2.0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
A687138,0.1643835616438356,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
A662261,0.410958904109589,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
A665799,0.2465753424657534,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A673438,2.0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A669140,0.0821917808219178,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A669576,8.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A685582,0.0575342465753424,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
A684998,10.0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0
A664486,0.1643835616438356,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A689192,0.0575342465753424,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A665019,8.0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A684110,0.0767123287671232,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
A677014,3.0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0
A677959,0.2465753424657534,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0
A680473,0.1643835616438356,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0
A690900,0.1643835616438356,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
A664437,0.410958904109589,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A683956,3.0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A690029,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A678260,15.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A672918,1.0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A681990,0.0575342465753424,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A683735,0.0767123287671232,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
A685607,0.0383561643835616,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
A679736,0.821917808219178,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A671106,0.821917808219178,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0
A678573,0.9041095890410958,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A626164,1.0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
A669753,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A687770,0.1643835616438356,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A688206,3.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
A667359,8.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
