Date,number_of_adopted
7/1/2014,441
8/1/2014,319
6/1/2014,288
3/1/2014,81
1/1/2014,144
10/1/2014,219
12/1/2013,266
9/1/2014,218
12/1/2014,209
10/1/2013,235
4/1/2014,98
11/1/2014,184
11/1/2013,214
5/1/2014,142
2/1/2014,89
1/1/2015,128
3/1/2015,92
2/1/2015,94
4/1/2015,64
1/1/2017,231
9/1/2017,284
7/1/2015,495
5/1/2016,166
4/1/2017,121
9/1/2016,273
10/1/2017,259
7/1/2017,419
11/1/2015,305
6/1/2017,354
5/1/2017,229
6/1/2015,303
5/1/2015,166
7/1/2016,471
10/1/2015,230
12/1/2016,294
8/1/2017,401
2/1/2016,130
9/1/2015,250
8/1/2016,290
2/1/2017,162
12/1/2015,277
8/1/2015,306
3/1/2016,114
6/1/2016,348
1/1/2016,218
4/1/2016,87
11/1/2017,245
3/1/2017,98
10/1/2016,220
11/1/2016,288
12/1/2017,258
1/1/2018,157
2/1/2018,3
